RMSE of SPM,RMSE of baseLine
1.44337567297,1.44337567297
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,28,28,28
1,24,24,24
2,24,24,24
3,24,24,24
4,23,23,23
5,25,25,25
6,25,25,25
7,24,24,24
8,24,24,24
9,24,24,24
10,23,23,23
11,21,21,21
12,21,21,21
13,21,21,21
14,21,21,21
15,21,21,21
16,25,25,25
17,25,25,25
18,25,25,25
19,26,26,26
20,26,26,26
21,26,26,26
22,22,22,22
23,22,22,22
24,22,22,22
25,22,22,22
26,26,26,26
27,26,26,26
28,29,29,29
29,29,29,29
30,28,28,28
31,29,29,29
32,29,29,29
33,29,29,29
34,30,30,30
35,25,25,25
36,27,27,27
37,27,27,27
38,30,30,30
39,29,29,29
40,29,29,29
41,31,31,31
42,28,28,28
43,30,30,30
44,32,32,32
45,32,32,32
46,32,32,32
47,32,32,32
48,31,31,31
49,30,30,30
50,32,32,32
51,32,32,32
52,32,32,32
53,32,32,32
54,31,31,31
55,31,31,31
56,31,31,31
57,33,33,33
58,33,33,33
59,33,33,33
60,33,33,33
61,33,33,33
62,27,27,27
63,27,27,27
64,27,27,27
65,27,27,27
66,25,25,25
67,25,25,25
68,25,25,25
69,25,25,25
70,25,25,25
71,25,25,25
72,8,8,8
73,8,8,8
74,10,10,10
75,8,8,8
76,6,6,6
77,9,9,9
78,9,9,9
79,9,9,9
80,4,4,4
81,4,4,4
82,4,4,4
83,4,4,4
84,2,2,2
85,2,2,2
86,3,3,3
87,3,3,3
88,3,3,3
89,3,3,3
90,4,4,4
91,4,4,4
92,4,4,4
93,3,3,3
94,3,3,3
95,3,3,3
96,3,3,3
97,3,3,3
98,3,3,3
99,3,3,3
100,4,4,4
101,4,4,4
102,2,2,2
103,2,2,2
104,2,2,2
105,2,2,2
106,4,4,4
107,3,3,3
108,2,2,2
109,2,2,2
110,2,2,2
111,3,3,3
112,1,1,1
113,1,1,1
114,3,3,3
115,5,5,5
116,4,4,4
117,4,4,4
118,4,4,4
119,4,4,4
120,4,4,4
121,4,4,4
122,4,4,4
123,8,8,8
124,8,8,8
125,5,5,5
126,5,5,5
127,4,4,4
128,4,4,4
129,4,4,4
130,4,4,4
131,4,4,4
132,4,4,4
133,4,4,4
134,4,4,4
135,4,4,4
136,4,4,4
137,2,2,2
138,4,4,4
139,4,4,4
140,4,4,4
141,4,4,4
142,4,4,4
143,3,3,3
144,2,2,2
145,2,2,2
146,2,2,2
147,2,2,2
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,2,2,2
153,2,2,2
154,2,2,2
155,1,1,1
156,1,1,1
157,3,3,3
158,3,3,3
159,1,1,1
160,1,1,1
161,3,3,3
162,3,3,3
163,3,3,3
164,2,2,2
165,2,2,2
166,2,2,2
167,2,2,2
168,3,3,3
169,3,3,3
170,3,3,3
171,3,3,3
172,3,3,3
173,3,3,3
174,3,3,3
175,3,3,3
176,3,3,3
177,3,3,3
178,3,3,3
179,3,3,3
180,12,12,12
181,12,12,12
182,12,12,12
183,12,12,12
184,12,12,12
185,10,10,10
186,9,9,9
187,13,13,13
188,9,9,9
189,9,9,9
190,8,8,8
191,9,9,9
192,18,18,18
193,11,11,11
194,19,19,19
195,15,15,15
196,15,15,15
197,14,14,14
198,18,18,18
199,12,12,12
200,12,12,12
201,12,12,12
202,12,12,12
203,14,14,14
204,14,14,14
205,14,14,14
206,14,14,14
207,13,13,13
208,13,13,13
209,13,13,13
210,13,13,13
211,13,13,13
212,16,16,16
213,16,16,16
214,16,16,16
215,16,16,16
216,16,16,16
217,16,16,16
218,16,16,16
219,21,21,21
220,21,21,21
221,21,21,21
222,16,16,16
223,16,16,16
224,16,16,16
225,16,16,16
226,16,16,16
227,16,16,16
228,15,15,15
229,18,18,18
230,14,14,14
231,14,14,14
232,15,15,15
233,15,15,15
234,15,15,15
235,15,15,15
236,15,15,15
237,16,16,16
238,16,16,16
239,16,16,16
240,20,20,20
241,18,18,18
242,18,18,18
243,18,18,18
244,18,18,18
245,18,18,18
246,18,18,18
247,22,22,22
248,22,22,22
249,20,20,20
250,19,19,19
251,19,19,19
252,23,23,23
253,23,23,23
254,22,22,22
255,22,22,22
256,22,22,22
257,22,22,22
258,22,22,22
259,22,22,22
260,22,22,22
261,20,22,22
262,22,20,20
263,22,22,22
264,22,22,22
265,23,22,22
266,23,23,23
267,19,23,23
268,19,19,19
