RMSE of SPM,RMSE of baseLine
2.46644143116,1.5
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,3,3,3
1,3,3,3
2,3,3,3
3,3,3,3
4,2,2,2
5,2,2,2
6,2,2,2
7,2,2,2
8,2,2,2
9,2,2,2
10,3,3,3
11,3,3,3
12,3,3,3
13,5,5,5
14,5,5,5
15,5,5,5
16,5,5,5
17,4,4,4
18,6,6,6
19,6,6,6
20,3,3,3
21,3,3,3
22,2,2,2
23,1,1,1
24,1,1,1
25,1,1,1
26,2,2,2
27,9,9,9
28,9,9,9
29,9,9,9
30,9,9,9
31,6,6,6
32,6,6,6
33,9,9,9
34,11,11,11
35,14,14,14
36,12,12,12
37,12,12,12
38,12,12,12
39,12,12,12
40,19,19,19
41,15,15,15
42,15,15,15
43,15,15,15
44,15,15,15
45,18,18,18
46,18,18,18
47,18,18,18
48,15,15,15
49,15,15,15
50,18,18,18
51,20,20,20
52,20,20,20
53,16,16,16
54,16,16,16
55,22,22,22
56,22,22,22
57,22,22,22
58,18,18,18
59,18,18,18
60,18,18,18
61,22,22,22
62,22,22,22
63,22,22,22
64,23,23,23
65,23,23,23
66,21,21,21
67,24,24,24
68,24,24,24
69,20,20,20
70,16,16,16
71,16,16,16
72,20,20,20
73,20,20,20
74,20,20,20
75,20,20,20
76,20,20,20
77,20,20,20
78,19,19,19
79,18,18,18
80,18,18,18
81,18,18,18
82,18,18,18
83,18,18,18
84,18,18,18
85,26,26,26
86,29,29,29
87,29,29,29
88,29,29,29
89,30,30,30
90,30,30,30
91,33,33,33
92,33,33,33
93,31,31,31
94,32,32,32
95,32,32,32
96,32,32,32
97,32,32,32
98,31,31,31
99,31,31,31
100,31,31,31
101,31,31,31
102,31,31,31
103,26,26,26
104,26,26,26
105,26,26,26
106,25,25,25
107,25,25,25
108,29,29,29
109,29,29,29
110,29,29,29
111,29,29,29
112,28,28,28
113,28,28,28
114,28,28,28
115,26,26,26
116,26,26,26
117,26,26,26
118,26,26,26
119,24,24,24
120,24,24,24
121,24,24,24
122,25,25,25
123,25,25,25
124,25,25,25
125,25,25,25
126,25,25,25
127,26,26,26
128,28,28,28
129,28,28,28
130,26,26,26
131,26,26,26
132,23,23,23
133,23,23,23
134,23,23,23
135,24,24,24
136,24,24,24
137,24,24,24
138,29,29,29
139,29,29,29
140,28,28,28
141,29,29,29
142,26,26,26
143,31,31,31
144,31,31,31
145,25,25,25
146,25,25,25
147,25,25,25
148,25,25,25
149,28,28,28
150,24,24,24
151,24,24,24
152,24,24,24
153,24,24,24
154,24,24,24
155,24,24,24
156,24,24,24
157,24,24,24
158,24,24,24
159,24,24,24
160,21,21,21
161,21,21,21
162,22,22,22
163,21,21,21
164,21,21,21
165,20,20,20
166,20,20,20
167,20,20,20
168,20,20,20
169,20,20,20
170,20,20,20
171,20,20,20
172,21,21,21
173,21,21,21
174,21,21,21
175,24,24,24
176,24,24,24
177,24,24,24
178,24,24,24
179,24,24,24
180,21,21,21
181,21,21,21
182,21,21,21
183,21,21,21
184,21,21,21
185,21,21,21
186,21,21,21
187,21,21,21
188,22,22,22
189,22,22,22
190,22,22,22
191,22,22,22
192,22,22,22
193,22,22,22
194,24,24,24
195,24,24,24
196,24,24,24
197,25,25,25
198,25,25,25
199,24,24,24
200,24,24,24
201,24,24,24
202,23,23,23
203,26,26,26
204,24,24,24
205,25,25,25
206,25,25,25
207,25,25,25
208,25,25,25
209,25,25,25
210,23,23,23
211,23,23,23
212,23,23,23
213,24,24,24
214,24,24,24
215,23,23,23
216,22,22,22
217,22,22,22
218,22,22,22
219,22,22,22
220,22,22,22
221,22,22,22
222,22,22,22
223,22,22,22
224,20,20,20
225,20,20,20
226,20,20,20
227,20,20,20
228,20,20,20
229,20,20,20
230,20,20,20
231,19,19,19
232,19,19,19
233,19,19,19
234,19,19,19
235,20,20,20
236,20,20,20
237,20,20,20
238,20,25,20
239,21,22,20
240,21,22,21
241,21,22,21
242,21,23,21
243,21,25,21
244,22,24,21
245,22,24,22
246,22,24,22
247,26,24,22
248,26,26,26
249,23,26,26
